what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1448610252804
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1448610254760
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448610258614
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448610758891
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1448610759201
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448610768792
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448610770991
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448610771016
error,log,,,"Internal Error",1448610771078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448610772102
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448610785460
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448610787535
error,log,,,"Internal Error",1448610787586
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448610789407
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448610815277
error,log,,,"Internal Error",1448610815311
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1448610817091
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448610901596
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448614922737
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1448615956817
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1448615957472
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1448615958938
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1448615965381
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1448615966645
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1448615968813
