what,kind,bundleId,bundleVersion,description,time
started,bundle,org.hibernate.eclipse,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse",1448941675121
started,bundle,org.hibernate.eclipse.console,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.console",1448941675134
started,bundle,org.hibernate.eclipse.mapper,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.mapper",1448941675159
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.100.v20090520-1905,"org.eclipse.equinox.simpleconfigurator",1448941675160
os,sysinfo,,,"win32",1448941675164
arch,sysinfo,,,"x86",1448941675164
ws,sysinfo,,,"win32",1448941675164
locale,sysinfo,,,"en_US",1448941675164
processors,sysinfo,,,"1",1448941675164
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1448941675164
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1448941675164
java.specification.name,sysinfo,,,"Java Platform API Specification",1448941675164
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1448941675164
java.specification.version,sysinfo,,,"1.6",1448941675164
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1448941675164
java.version,sysinfo,,,"1.6.0_24",1448941675164
java.vm.info,sysinfo,,,"mixed mode, sharing",1448941675164
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1448941675164
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1448941675164
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1448941675164
java.vm.specification.version,sysinfo,,,"1.0",1448941675164
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1448941675164
java.vm.version,sysinfo,,,"19.1-b02",1448941675164
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks.ui",1448941675229
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1448941675337
