what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"1",1448606369811
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1448606369811
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1448606369811
java.specification.name,sysinfo,,,"Java Platform API Specification",1448606369811
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1448606369811
java.specification.version,sysinfo,,,"1.6",1448606369811
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1448606369811
java.version,sysinfo,,,"1.6.0_24",1448606369811
java.vm.info,sysinfo,,,"mixed mode, sharing",1448606369811
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1448606369811
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1448606369811
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1448606369811
java.vm.specification.version,sysinfo,,,"1.0",1448606369811
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1448606369811
java.vm.version,sysinfo,,,"19.1-b02",1448606369811
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1448606369836
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1448606369953
started,bundle,org.eclipse.mylyn.context.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.core",1448606370040
started,bundle,org.eclipse.mylyn.context.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.ui",1448606370067
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1448606370331
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1448606370415
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1448606370463
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1448606370474
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1448606370699
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1448606370700
